TOP,BOTTOM,STRATIGRAPHY_SYM,LITHOLOGY,MYUWI
2564.5,2570,Ca3,dolomity,MY44
2570,2572.5,A2G,(nieokreślone),MY44
2572.5,2861.5,Na2,(nieokreślone),MY44
2861.5,2864.5,A2,(nieokreślone),MY44
2864.5,2872,Ca2,wapienie,MY44
2872,3042,A1G,(nieokreślone),MY44
0,23.5,Q,"piaski,żwiry",MY38
23.5,62,J3,"wapienie,łupki",MY38
62,271,J2,"piaskowce,łupki",MY38
271,1085,J1,"piaskowce,łupki",MY38
1085,1249,TRe,łupki pstre,MY38
1249,1509,Tk,łupki pstre,MY38
1509,1645,T2,"wapienie,łupki",MY38
1645,1663,Tp3,piaskowce,MY38
1663,2211,Tp2,"piaskowce,łupki",MY38
2211,2540.5,Tp1,"anhydryty,łupki",MY38
2540.5,2593,Na4,(nieokreślone),MY38
2593,2602,I4,"łupki,mułowce",MY38
2602,2707.6,Na3,(nieokreślone),MY38
2707.6,2712,A3,anhydryty,MY38
2712,2718,Ca3,dolomity,MY38
2718,2720.5,I3,łupki,MY38
2720.5,2723,A2G,anhydryty,MY38
2723,2816,Na2,(nieokreślone),MY38
2816,2821.5,A2,anhydryty,MY38
2821.5,2826.5,Ca2,dolomity,MY38
2826.5,2828,A1G,anhydryty,MY38
2828,2831.5,Na1G,(nieokreślone),MY38
2831.5,2999,A1S,anhydryty,MY38
2999,3027.5,Na1D,(nieokreślone),MY38
3027.5,3089,A1D,anhydryty,MY38
3089,3092,Ca1,(nieokreślone),MY38
3092,3093,I1,(nieokreślone),MY38
3093,3117.8,Ps,zlepieńce,MY38
0,38,Q,"gliny,piaski,żwiry",MY37
38,142.5,J3,iłowce,MY37
142.5,286,Jkl,mułowce,MY37
286,353,Jbt,iłowce,MY37
353,485.5,Jbj,mułowce,MY37
485.5,541.5,Ja,mułowce,MY37
541.5,1444.5,J1,piaskowce,MY37
1444.5,1542,TRe,iłowce,MY37
1542,1681.5,Tk3G,iłowce,MY37
1681.5,1698,Tk3T,iłowce,MY37
1698,1898.5,Tk3D,iłowce,MY37
1898.5,2027.5,Tk1,iłowce,MY37
2027.5,2187,T2,iłowce,MY37
2187,2425,T1,iłowce,MY37
2425,2427,A4G,anhydryty,MY37
2427,2482,Na4,(nieokreślone),MY37
2482,2483,A4D,anhydryty,MY37
2483,2506,I4,(nieokreślone),MY37
2506,2560,Na3,(nieokreślone),MY37
2560,2572.5,A3,anhydryty,MY37
2572.5,2579,Ca3,dolomity,MY37
2579,2581.5,A2G,anhydryty,MY37
2581.5,2802,Na2,(nieokreślone),MY37
2802,2901,A2,anhydryty,MY37
2901,2911,Ca2,dolomity,MY37
2911,2938,A1G,anhydryty,MY37
0,26,Q,(nieokreślone),MY33
26,55.5,Jto1,(nieokreślone),MY33
55.5,136,Jpl3,(nieokreślone),MY33
136,289,Jpl1,(nieokreślone),MY33
289,405,Js1,(nieokreślone),MY33
405,508.2,Js1,(nieokreślone),MY33
508.2,678.2,Jh,(nieokreślone),MY33
678.2,698,TRe3,(nieokreślone),MY33
698,816.5,TRe1,(nieokreślone),MY33
816.5,838,Tk3T,(nieokreślone),MY33
838,946,Tk3D,(nieokreślone),MY33
946,1009,Tk1,(nieokreślone),MY33
1009,1031.6,Tm3,(nieokreślone),MY33
1031.6,1066,Tm2,(nieokreślone),MY33
1066,1140.6,Tm1,(nieokreślone),MY33
1140.6,1312,Tp3,(nieokreślone),MY33
1312,1719,Tp2,(nieokreślone),MY33
1719,2057.5,Tp1,(nieokreślone),MY33
2057.5,2109,Na4,(nieokreślone),MY33
2109,2110,A4D,(nieokreślone),MY33
2110,2117,I4,(nieokreślone),MY33
2117,2207,Na3,(nieokreślone),MY33
2207,2225,A3,(nieokreślone),MY33
2225,2232.5,Ca3+I3,(nieokreślone),MY33
2232.5,2235,A2G,(nieokreślone),MY33
2235,2238,Na2G,(nieokreślone),MY33
2238,2282,Kz2,(nieokreślone),MY33
2282,2383,Na2D,(nieokreślone),MY33
2383,2398.5,A2,(nieokreślone),MY33
2398.5,2414.5,Ca2,(nieokreślone),MY33
2414.5,2631,Na1,(nieokreślone),MY33
2631,2715,A1D,(nieokreślone),MY33
2715,2720,Ca1,(nieokreślone),MY33
2720,2722.3,Ps,(nieokreślone),MY33
2722.3,2810.5,PaW,(nieokreślone),MY33
0,25,Q,"piaski różnoziarniste,żwiry,gliny",MY22
25,90,Jto1,iłowce szare zielone glaukonitowe,MY22
90,180,Jpl3,"piaskowce,mułowce,iłowce,węgle brunatne",MY22
180,339,Jpl1,"piaskowce,mułowce,iłowce,węgle brunatne",MY22
339,447,Js3,"piaskowce,mułowce,iłowce,węgle brunatne",MY22
447,526,Js1,"piaskowce,mułowce,iłowce,węgle brunatne",MY22
526,674,Jh3+Jh1,"piaskowce,mułowce,iłowce,węgle brunatne",MY22
674,739,TRe3,"iłowce,mułowce,piaskowce",MY22
739,811,TRe1,"iłowce,mułowce",MY22
811,936,Tk3D,"iłowce,gipsy",MY22
936,998,Tk1,"iłowce,mułowce,piaskowce",MY22
998,1018,Tm3,margle,MY22
1018,1065,Tm2,"wapienie,dolomity,margle",MY22
1065,1133,Tm1,"wapienie,dolomity",MY22
1133,1291,Tp3,"zlepieńce,piaskowce,iłowce,wapienie",MY22
1291,1708,Tp1,"piaskowce,mułowce",MY22
1708,2051.5,Tp1+ST,"iłowce,wapienie,piaskowce",MY22
2051.5,2076.5,IP,,MY22
2076.5,2117,Na4,,MY22
2117,2128,I4,,MY22
2128,2225,Na3,"sole kamienne,anhydryty",MY22
2225,2236.5,A3,,MY22
2236.5,2242,Ca3,,MY22
2242,2287,Na2,,MY22
2287,2296.5,A2,,MY22
2296.5,2340,Ca2,"dolomity,anhydryty",MY22
2340,2371,A1G,,MY22
0,34,Q,"piaski,żwiry,gliny",MY21
34,74,Jto1,iłowce glaukonitowe,MY21
74,165,Jpl3,"piaskowce,mułowce,iłowce,węgle brunatne",MY21
165,320,Jpl1,"iłowce,mułowce,piaskowce,węgle brunatne",MY21
320,421.5,Js3,"iłowce,mułowce,piaskowce,węgle brunatne",MY21
421.5,518,Js1,"iłowce,mułowce,piaskowce,węgle brunatne",MY21
518,625,Jh3+Jh1,"piaskowce,mułowce,iłowce,węgle brunatne",MY21
625,702.5,TRe3,"iłowce,mułowce,piaskowce",MY21
702.5,777,TRe1,"iłowce,mułowce,anhydryty",MY21
777,885,Tk3D,"iłowce,gipsy,anhydryty",MY21
885,953,Tk1,"iłowce,mułowce",MY21
953,979,Tm3,"margle,iłowce margliste",MY21
979,1010,Tm2,"wapienie,dolomity,margle",MY21
1010,1088,Tm1,"wapienie,dolomity,margle",MY21
1088,1239,Tp3,"piaskowce,iłowce,margle",MY21
1239,1669,Tp2,"iłowce,mułowce,piaskowce",MY21
1669,2011,Tp1+ST,"iłowce,mułowce,piaskowce,anhydryty,dolomity,wapienie",MY21
2011,2074.5,Na4,"sole kamienne,iły czerwone",MY21
2074.5,2089,I4,,MY21
2089,2201,Na3,"sole kamienne,anhydryty",MY21
2201,2205,A3,,MY21
2205,2234,Na2,,MY21
2234,2240,A2,,MY21
2240,2261,Ca2,,MY21
2261,2268.3,A1G,,MY21
0,31,Q,"gliny,piaski,żwiry",MY16
31,92,Jto,"piaskowce,łupki",MY16
92,189.5,Jpl3,"piaskowce,łupki",MY16
189.5,547,Jpl1,"łupki,piaskowce",MY16
547,692,Js+Jh,"piaskowce,łupki",MY16
692,824,TRe,łupki pstre,MY16
824,870,Tk3,łupki pstre,MY16
870,983,Tk1,"łupki,piaskowce,mułowce",MY16
983,1129,T2,"wapienie,łupki",MY16
1129,1273,Tp3,"piaskowce,łupki,mułowce",MY16
1273,1691,Tp2,"piaskowce,łupki,mułowce",MY16
1691,2018.5,Tp1,"łupki,piaskowce,mułowce",MY16
2018.5,2020,A4G,anhydryty,MY16
2020,2076,Na4,(nieokreślone),MY16
2076,2077.5,A4D,anhydryty,MY16
2077.5,2092,I4,łupki pstre,MY16
2092,2182.5,Na3,(nieokreślone),MY16
2182.5,2236,A3,anhydryty,MY16
2236,2242.5,Ca3,dolomity,MY16
2242.5,2244,A2G,anhydryty,MY16
2244,2296,Na2,(nieokreślone),MY16
2296,2306,A2,anhydryty,MY16
2306,2317.3,Ca2,dolomity,MY16
0,43,Q,"gliny,piaski,żwiry",MY14
43,672.5,J1,"łupki,piaskowce",MY14
672.5,838.5,TRe,"łupki,mułowce",MY14
838.5,1027.5,Tk3D,"łupki,piaskowce",MY14
1027.5,1140.5,Tk1,"łupki,mułowce",MY14
1140.5,1293.5,T2,"wapienie,dolomity",MY14
1293.5,1469.5,Tp3,"łupki,mułowce",MY14
1469.5,1950.5,Tp2,"piaskowce,łupki",MY14
1950.5,2304,Tp1,"łupki,mułowce",MY14
2304,2304.5,A4G,(nieokreślone),MY14
2304.5,2337.5,Na4,(nieokreślone),MY14
2337.5,2343,I4,(nieokreślone),MY14
2343,2355.5,Na3,(nieokreślone),MY14
2355.5,2439.5,A3,(nieokreślone),MY14
2439.5,2445.5,Ca3,(nieokreślone),MY14
2445.5,2450,A2G,(nieokreślone),MY14
2450,2507,Na2,(nieokreślone),MY14
2507,2511,A2,(nieokreślone),MY14
2511,2554.5,Ca2,dolomity,MY14
2554.5,2695,A1G,(nieokreślone),MY14
2695,2711,Na1G,(nieokreślone),MY14
2711,2737.5,A1S,(nieokreślone),MY14
2737.5,2741.5,Na1D,(nieokreślone),MY14
2741.5,2810.5,A1D,(nieokreślone),MY14
2810.5,2815,Ca1,(nieokreślone),MY14
2815,2815.5,I1,(nieokreślone),MY14
2815.5,3051,Pa,(nieokreślone),MY14
0,25,Q,"gliny,piaski,żwiry",MY13
25,85,Jto1,mułowce,MY13
85,131.5,Jpl3,"iłowce,mułowce,piaskowce",MY13
131.5,485.5,Jpl1,"iłowce,mułowce,piaskowce",MY13
485.5,638,Jh,"iłowce,mułowce,piaskowce",MY13
638,781,TRe,"iłowce,mułowce,piaskowce",MY13
781,941,Tk3D,iłowce,MY13
941,1022.5,Tk1,"iłołupki,piaskowce",MY13
1022.5,1155,T2,"wapienie,dolomity",MY13
1155,1311,Tp3,"piaskowce,iłowce",MY13
1311,1732.5,Tp2,"mułowce,piaskowce",MY13
1732.5,2054.5,Tp1,"iłowce,mułowce",MY13
2054.5,2056,A4G,anhydryty,MY13
2056,2089,Na4,sole,MY13
2089,2090,A4D,anhydryty,MY13
2090,2101.5,I4,(nieokreślone),MY13
2101.5,2205.5,Na3,sole,MY13
2205.5,2219.5,A3,anhydryty,MY13
2219.5,2228.5,Ca3,dolomity,MY13
2228.5,2230.5,A2G,anhydryty,MY13
2230.5,2308,Na2,sole,MY13
2308,2317,A2,anhydryty,MY13
2317,2349,Ca2,"dolomity,anhydryty",MY13
2349,2359,A1G,anhydryty,MY13
0,30,Q,"gliny,piaski,żwiry",MY12
30,88.5,Jto1,(nieokreślone),MY12
88.5,175,Jpl3,"piaskowce,łupki",MY12
175,511,Jpl1,"łupki,piaskowce",MY12
511,658,Jh,"piaskowce,łupki",MY12
658,810.5,TRe,"łupki,mułowce",MY12
810.5,868,Tk3D,"łupki,mułowce",MY12
868,1011.5,Tk1,"łupki,mułowce",MY12
1011.5,1142.5,T2,"wapienie,łupki",MY12
1142.5,1292,Tp3,"łupki,piaskowce",MY12
1292,1712.5,Tp2,"piaskowce,łupki",MY12
1712.5,2060,Tp1,"łupki,mułowce",MY12
2060,2061.5,A4G,anhydryty,MY12
2061.5,2112,Na4,(nieokreślone),MY12
2112,2113,A4D,anhydryty,MY12
2113,2128,I4,iłowce,MY12
2128,2221,Na3,(nieokreślone),MY12
2221,2237,A3,anhydryty,MY12
2237,2243,Ca3,dolomity,MY12
2243,2244.5,A2G,anhydryty,MY12
2244.5,2321.5,Na2,(nieokreślone),MY12
2321.5,2326.5,A2,anhydryty,MY12
2326.5,2357.5,Ca2,dolomity,MY12
2357.5,2531,A1G,anhydryty,MY12
2531,2576.5,Na1,(nieokreślone),MY12
2576.5,2653,A1D,anhydryty,MY12
2653,2658.5,Ca1,wapienie,MY12
2658.5,2672,Pa,zlepieńce,MY12
0,36,Q,"gliny,piaski,żwiry",MY11
36,693.5,J1,iłowce,MY11
693.5,812,TRe,iłowce,MY11
812,880.5,Tk3D,iłowce,MY11
880.5,988,Tk1,iłowce,MY11
988,1129.5,T2,"wapienie,dolomity",MY11
1129.5,1276,Tp3,piaskowce,MY11
1276,1698,Tp2,iłowce,MY11
1698,2034.5,Tp1,iłowce,MY11
2034.5,2098.5,Na4,(nieokreślone),MY11
2098.5,2099.5,A4D,anhydryty,MY11
2099.5,2110.5,I4,iłowce,MY11
2110.5,2203,Na3,(nieokreślone),MY11
2203,2218,A3,anhydryty,MY11
2218,2225.5,Ca3,dolomity,MY11
2225.5,2227,A2G,anhydryty,MY11
2227,2293,Na2,(nieokreślone),MY11
2293,2305.2,A2,anhydryty,MY11
2305.2,2305.6,Ca2,dolomity,MY11
0,31,Q,"gliny,piaski,żwiry",MY10
31,75,Jto1,iłowce,MY10
75,150,Jpl3,iłowce,MY10
150,529,Jpl1,mułowce,MY10
529,665,Js,mułowce,MY10
665,790,TRe,iłowce,MY10
790,863,Tk3D,iłowce,MY10
863,971.5,Tk1,iłowce,MY10
971.5,1106,T2,wapienie,MY10
1106,1258,Tp3,piaskowce,MY10
1258,1687.5,Tp2,iłowce,MY10
1687.5,2032,Tp1,iłowce,MY10
2032,2079.5,Na4,(nieokreślone),MY10
2079.5,2081,A4D,anhydryty,MY10
2081,2092,I4,(nieokreślone),MY10
2092,2171,Na3,(nieokreślone),MY10
2171,2211,A3,anhydryty,MY10
2211,2217,Ca3,dolomity,MY10
2217,2219.5,A2G,anhydryty,MY10
2219.5,2250,Na2,(nieokreślone),MY10
2250,2260.4,A2,anhydryty,MY10
2260.4,2260.7,Ca2,(nieokreślone),MY10
515,657.5,Js+Jh,"iłowce,mułowce,piaskowce,węgle brunatne,",MY32
0,23,Q,"gliny,piaski,żwiry",MY32
23,95.5,Jto1,iłowce,MY32
95.5,157.5,Jpl3,piaskowce,MY32
157.5,515,Jpl1,piaskowce,MY32
657.5,787.5,TRe,iłowce,MY32
787.5,900,Tk3,iłowce,MY32
900,966,Tk1,iłowce,MY32
966,1112,T2,"wapienie,dolomity",MY32
1112,1256.5,Tp3,piaskowce,MY32
1256.5,1690,Tp2,iłowce,MY32
1690,2034.5,Tp1,iłowce,MY32
2034.5,2035.5,A4G,(nieokreślone),MY32
2035.5,2042.5,Na4G,(nieokreślone),MY32
2093.5,2095,A4D,(nieokreślone),MY32
2095,2106.5,I4_1,(nieokreślone),MY32
2106.5,2194.5,Na3,(nieokreślone),MY32
2194.5,2256.5,Na2,(nieokreślone),MY32
2256.5,2268.6,A2,(nieokreślone),MY32
2268.6,2270,Ca2,dolomity,MY32
2042.5,2058,I4_2,,MY32
2058,2093.5,Na4D,,MY32
522.5,652,Js+Jh,"iłowce,mułowce,piaskowce,węgle brunatne",MY31
0,38,Q,"gliny,piaski,żwiry",MY31
38,70,Jto1,łupki,MY31
70,132,Jpl3,"piaskowce,łupki",MY31
132,522.5,Jpl1,"piaskowce,łupki",MY31
652,773.5,TRe,"łupki,piaskowce",MY31
773.5,849.5,Tk3,"łupki,piaskowce,gipsy,anhydryty",MY31
849.5,1007,Tk1,łupki,MY31
1007,1156,T2,"wapienie,łupki",MY31
1156,1323.5,Tp3,"piaskowce,łupki",MY31
1323.5,1780,Tp2,"piaskowce,łupki,mułowce",MY31
1780,2161,Tp1,"łupki,mułowce",MY31
2161,2162.5,A4G,(nieokreślone),MY31
2162.5,2171,Na4G,(nieokreślone),MY31
2237.5,2238.5,A4D,(nieokreślone),MY31
2238.5,2253.5,I4_1,(nieokreślone),MY31
2253.5,2380,Na3,(nieokreślone),MY31
2380,2399.5,A3,(nieokreślone),MY31
2399.5,2411,Ca3,(nieokreślone),MY31
2411,2412,A2G,(nieokreślone),MY31
2412,2468.5,Na2,(nieokreślone),MY31
2468.5,2474.7,A2,(nieokreślone),MY31
2474.7,2480.6,Ca2,dolomity,MY31
2171,2191.5,I4_2,,MY31
2191.5,2237.5,Na4D,,MY31
0,44,Q,"gliny,piaski",MY30
44,54.5,Jto3,"piaskowce,łupki",MY30
54.5,110,Jto1,"łupki,mułowce",MY30
110,192,Jpl3,"piaskowce,łupki,mułowce",MY30
192,546.5,Jpl1,"łupki,piaskowce,mułowce",MY30
546.5,686,Js+Jh,"piaskowce,łupki,mułowce",MY30
686,840,TRe,"łupki,piaskowce,mułowce",MY30
840,918,Tk3D,iłowce,MY30
918,1015.5,Tk1,"łupki,piaskowce,mułowce",MY30
1015.5,1147.5,T2,"wapienie,łupki",MY30
1147.5,1296.5,Tp3,"łupki,piaskowce,mułowce",MY30
1296.5,1717.5,Tp2,piaskowce,MY30
1717.5,2060,Tp1,"wapienie,łupki",MY30
2060,2061,A4G,(nieokreślone),MY30
2061,2131.5,Na4,(nieokreślone),MY30
2131.5,2132.5,A4D,(nieokreślone),MY30
2132.5,2148,I4,(nieokreślone),MY30
2148,2195.5,Na3,(nieokreślone),MY30
2195.5,2305,A3,(nieokreślone),MY30
2305,2313,Ca3,(nieokreślone),MY30
2313,2315,A2G,(nieokreślone),MY30
2315,2351,Na2,(nieokreślone),MY30
2351,2364,A2,(nieokreślone),MY30
2364,2390,Ca2,dolomity,MY30
2390,2590,A1G,(nieokreślone),MY30
2590,2658.5,Na1,(nieokreślone),MY30
2658.5,2702,A1D,(nieokreślone),MY30
2702,2706.7,Ca1,wapienie,MY30
2706.7,2707.5,I1,(nieokreślone),MY30
2707.5,3230,Pa,(nieokreślone),MY30
3230,3410,C3,"łupki,piaskowce,mułowce",MY30
522.5,671,Js+Jh,"iłowce,mułowce,piaskowce,,,",MY29
0,34,Q,"gliny,piaski,żwiry",MY29
34,44.5,Jto3,piaskowce,MY29
44.5,74,Jto1,iłowce,MY29
74,175,Jpl3,piaskowce,MY29
175,522.5,Jpl1,mułowce,MY29
671,808.5,TRe,iłowce,MY29
808.5,926,Tk3D,iłowce,MY29
926,981,Tk1,iłowce,MY29
981,1125,T2,iłowce,MY29
1125,1275,Tp3,piaskowce,MY29
1275,1720,Tp2,piaskowce,MY29
1720,2069.5,Tp1,iłowce,MY29
2069.5,2071,A4G,(nieokreślone),MY29
2071,2078.5,Na4G,(nieokreślone),MY29
2143,2144,A4D,(nieokreślone),MY29
2144,2158,I4_1,(nieokreślone),MY29
2158,2277.5,Na3,(nieokreślone),MY29
2277.5,2294,A3,(nieokreślone),MY29
2294,2297.5,Ca3,(nieokreślone),MY29
2297.5,2301,A2G,(nieokreślone),MY29
2301,2373.5,Na2,(nieokreślone),MY29
2373.5,2383,A2,anhydryty,MY29
2383,2408.5,Ca2,dolomity,MY29
2408.5,2420.6,A1G,anhydryty,MY29
2078.5,2100,I4_2,,MY29
2100,2143,Na4D,,MY29
525,672.5,Jh3+Jh1,"iłowce,mułowce,piaskowce,,",MY28
0,32,Q,"gliny,piaski,żwiry",MY28
32,89,Jto1,mułowce,MY28
89,172.5,Jpl3,piaskowce,MY28
172.5,525,Jpl1,piaskowce,MY28
672.5,798,TRe,iłowce,MY28
798,856,Tk3D,iłowce,MY28
856,959.5,Tk1,iłowce,MY28
959.5,1110,T2,"wapienie,dolomity",MY28
1110,1253.5,Tp3,"wapienie,piaskowce",MY28
1253.5,1677,Tp2,piaskowce,MY28
1677,2025.5,Tp1,iłowce,MY28
2026.5,2035,Na4G,(nieokreślone),MY28
2087,2088.5,A4D,(nieokreślone),MY28
2088.5,2097.5,I4_1,(nieokreślone),MY28
2097.5,2149,Na3,(nieokreślone),MY28
2149,2179,A3,(nieokreślone),MY28
2179,2184,Ca3,anhydryty,MY28
2184,2184.5,I3,(nieokreślone),MY28
2184.5,2185.5,A2G,(nieokreślone),MY28
2185.5,2236,Na2,(nieokreślone),MY28
2236,2246.3,A2,(nieokreślone),MY28
2246.3,2246.4,Ca2,anhydryty,MY28
2025.5,2026.5,A4G,,MY28
2035,2052.5,I4_2,,MY28
2052.5,2087,Na4D,,MY28
498,644,Jh3+Jh1,"iłowce,mułowce,piaskowce,",MY27
2015,2034.5,I4_2,,MY27
0,33,Q,gliny,MY27
33,75,Jto1,iłowce,MY27
75,147,Jpl3,piaskowce,MY27
147,498,Jpl1,piaskowce,MY27
644,778.5,TRe,iłowce,MY27
778.5,851.5,Tk3,iłowce,MY27
851.5,953,Tk1,iłowce,MY27
953,1099,T2,"wapienie,dolomity",MY27
1099,1249,Tp3,"piaskowce,zlepieńce",MY27
1249,1667.5,Tp2,piaskowce,MY27
1667.5,2009,Tp1,iłowce,MY27
2009,2009.5,A4G,(nieokreślone),MY27
2009.5,2015,Na4G,(nieokreślone),MY27
2071,2072,A4D,(nieokreślone),MY27
2072,2082.5,I4_1,(nieokreślone),MY27
2082.5,2157,Na3,(nieokreślone),MY27
2157,2176.5,A3,(nieokreślone),MY27
2176.5,2181,Ca3,dolomity,MY27
2181,2182,I3,(nieokreślone),MY27
2182,2183.5,A2G,(nieokreślone),MY27
2183.5,2239,Na2,(nieokreślone),MY27
2239,2248,A2,(nieokreślone),MY27
2248,2248.1,Ca2,dolomity,MY27
2034.5,2071,Na4D,,MY27
0,40,Q,"gliny,piaski,żwiry",MY26
40,57,Jto3,piaskowce,MY26
57,100,Jto1,iłowce,MY26
100,187.5,Jpl3,piaskowce,MY26
187.5,495.5,Jpl1,mułowce,MY26
495.5,655,Js+Jh,piaskowce,MY26
655,780,TRe,"łupki,mułowce",MY26
780,852.5,Tk3D,iłowce,MY26
852.5,969,Tk1,iłowce,MY26
969,1105,T2,"wapienie,łupki",MY26
1105,1262,Tp3,iłowce,MY26
1262,1681,Tp2,piaskowce,MY26
1681,2037.5,Tp1,iłowce,MY26
2037.5,2038.5,A4G,(nieokreślone),MY26
2038.5,2113.5,Na4,(nieokreślone),MY26
2113.5,2115,A4D,(nieokreślone),MY26
2115,2131,I4,(nieokreślone),MY26
2131,2254.5,Na3,(nieokreślone),MY26
2254.5,2275.5,A3,(nieokreślone),MY26
2275.5,2282.5,Ca3,(nieokreślone),MY26
2282.5,2285,A2G,(nieokreślone),MY26
2285,2344,Na2,(nieokreślone),MY26
2344,2352.5,A2,(nieokreślone),MY26
2352.5,2384,Ca2,dolomity,MY26
2384,2405,A1G,(nieokreślone),MY26
2041,2060,I4_2,,MY19
2060,2101.5,Na4D,,MY19
520,652.5,Jh3+Jh1,"iłowce,mułowce,piaskowce",MY19
0,21,Q,gliny,MY19
21,35,Jto3,piaskowce,MY19
35,87,Jto1,iłowce,MY19
87,148,Jpl3,piaskowce,MY19
148,297.5,Jpl1,piaskowce,MY19
297.5,520,Js,piaskowce,MY19
652.5,778,TRe,iłowce,MY19
778,893,Tk3,iłowce,MY19
893,956,Tk1,iłowce,MY19
956,1102,T2,"wapienie,dolomity",MY19
1102,1250.5,Tp3,"piaskowce,zlepieńce",MY19
1250.5,1687,Tp2,piaskowce,MY19
1687,2033.5,Tp1,iłowce,MY19
2033.5,2034,A4G,(nieokreślone),MY19
2034,2041,Na4G,(nieokreślone),MY19
2101.5,2103,A4D,(nieokreślone),MY19
2103,2120,I4_1,(nieokreślone),MY19
2120,2224.5,Na3,(nieokreślone),MY19
2224.5,2228,Ca3+I3,(nieokreślone),MY19
2228,2287.1,Na2,(nieokreślone),MY19
2287.1,2297.5,A2,(nieokreślone),MY19
2297.5,2299.6,Ca2,dolomity,MY19
0,21.5,Q,"piaski,żwiry,gliny",MY24
21.5,82,Jto1,"iłowce,mułowce szare zielone glaukonitowe",MY24
82,180,Jpl3,"piaskowce,mułowce,iłowce",MY24
180,335,Jpl1,"piaskowce,mułowce,iłowce",MY24
335,432,Js3,"piaskowce,mułowce,iłowce",MY24
432,525,Js1,"piaskowce,mułowce,iłowce",MY24
525,669,Jh3+Jh1,"piaskowce,mułowce,iłowce",MY24
669,728,TRe3,"iłowce,mułowce",MY24
728,795,TRe1,"iłowce,mułowce",MY24
795,926,Tk3D,"iłowce,mułowce",MY24
926,1113.5,Tk1,"iłowce,mułowce",MY24
1113.5,1137,Tm3,"margle,wapienie,dolomity",MY24
1137,1139,Tm2,"margle,wapienie,dolomity",MY24
1139,1150,Tm1,"margle,wapienie,dolomity",MY24
1150,1286,Tp3,"piaskowce,mułowce,margle",MY24
1286,1679,Tp2,"piaskowce,mułowce,iłowce",MY24
1679,2038.5,Tp1,"iłowce,mułowce,wapienie",MY24
2038.5,2044,IP,,MY24
2044,2045,A4G,,MY24
2045,2117.5,Na4+A4D,"sole kamienne,iłowce czerwone",MY24
2117.5,2137.5,I4,,MY24
2137.5,2238,Na3,,MY24
2238,2247.5,Ca3+I3,,MY24
2247.5,2312.5,Na2,,MY24
2312.5,2322,A2,,MY24
2322,2328.5,Ca2,,MY24
2245,2247,A4G,(nieokreślone),MY8
2247,2315.5,Na4,(nieokreślone),MY8
2315.5,2331,I4,(nieokreślone),MY8
2331,2400,Na3,(nieokreślone),MY8
2400,2491.5,A3,(nieokreślone),MY8
2491.5,2496,Ca3,(nieokreślone),MY8
2496,2502,A2G,(nieokreślone),MY8
2502,2579,Na2,(nieokreślone),MY8
2579,2584,A2,(nieokreślone),MY8
2584,2643.3,Ca2,dolomity,MY8
2643.3,2659.5,A1G,(nieokreślone),MY8
0,16,Q,"piaski,żwiry",MY8
16,93,Jbt,"łupki,piaskowce",MY8
93,131,Jbj3,"łupki,piaskowce",MY8
131,243.5,Jbj1,"piaskowce,łupki",MY8
243.5,264,Ja,"piaskowce,łupki",MY8
264,291,Jto3,"piaskowce,łupki",MY8
291,343.5,Jto1,"łupki,mułowce",MY8
343.5,441.5,Jpl3,"piaskowce,łupki",MY8
441.5,753,Jpl1,"łupki,piaskowce",MY8
753,993,Js+Jh,"łupki,piaskowce,mułowce",MY8
993,1051,TRe,"łupki,mułowce",MY8
1051,1156,Tk,"łupki,piaskowce,mułowce",MY8
1156,1301.5,T2,"wapienie,łupki",MY8
1301.5,1462.5,Tp3,"łupki,piaskowce,mułowce",MY8
1462.5,1895,Tp2,"piaskowce,łupki",MY8
1895,2245,Tp1,"łupki,piaskowce,mułowce",MY8
0,44.5,Q,"gliny,piaski,żwiry",MY7
44.5,99,J3,margle,MY7
99,282,Jkl,"wapienie,łupki",MY7
282,363.5,Jbt,mułowce,MY7
363.5,394,Jbj3,mułowce,MY7
394,535.5,Jbj1,mułowce,MY7
535.5,689,Jto3,"piaskowce,łupki",MY7
689,834,Jto1,"łupki,mułowce",MY7
834,907.5,Jpl3,piaskowce,MY7
907.5,1013.5,Jpl1,iłowce,MY7
1013.5,1179,Js+Jh,"wapienie,łupki",MY7
1179,1274,TRe,iłowce,MY7
1274,1319,Tk,"wapienie,łupki",MY7
1319,1477,T2,(nieokreślone),MY7
1477,1628,Tp3,"piaskowce,łupki",MY7
2347.5,2430,Z4,(nieokreślone),MY7
2430,2563,Na3,(nieokreślone),MY7
2563,2584,A3,(nieokreślone),MY7
2584,2588.5,Ca3,dolomity,MY7
2588.5,2591.5,A2G,(nieokreślone),MY7
2591.5,2847,Na2,(nieokreślone),MY7
2847,2850.5,A2,(nieokreślone),MY7
2850.5,2868,Ca2,"wapienie,dolomity",MY7
2868,2883,A1G,(nieokreślone),MY7
1628,2025,Tp2,,MY7
2025,2347.5,Tp1,,MY7
0,54,Q,"gliny,piaski,żwiry",MY6
54,67,Jkm,(nieokreślone),MY6
67,173.5,Jo,margle,MY6
173.5,290.5,Jkl,piaskowce,MY6
290.5,341,Jbt,iłowce,MY6
341,390,Jbj,iłowce,MY6
390,1045,J1,iłowce,MY6
1045,1080.5,Tk1,iłowce,MY6
1080.5,1243,T2,dolomity,MY6
1243,1270.5,Tp3,iłowce,MY6
1270.5,1774,Tp2,iłowce,MY6
